State,Action,Action wo Noise
[-0.53022369  0.         -0.53022369  0.         -0.53022369  0.        ],0.73933816,1.0
[-0.529065    0.00115869 -0.52675631  0.00230869 -0.52331493  0.00344138],0.73351926,1.0
[-0.51877539  0.00453953 -0.51317176  0.00560364 -0.50654603  0.00662573],0.8998309,1.0
[-0.4986984   0.00784763 -0.4896876   0.0090108  -0.47958095  0.01010665],0.8130825,1.0
[-0.46858385  0.0109971  -0.45677787  0.01180598 -0.44425008  0.0125278 ],1.0,1.0
[-0.43081179  0.01343829 -0.41656045  0.01425134 -0.40159818  0.01496228],1.0,1.0
[-0.38603061  0.01556756 -0.36996577  0.01606484 -0.35351281  0.01645296],1.0,1.0
[-0.33678086  0.01673195 -0.31987783  0.01690303 -0.30290936  0.01696848],1.0,1.0
[-0.28597775  0.0169316  -0.26918116  0.0167966  -0.25261275  0.01656841],1.0,1.0
[-0.23636015  0.0162526  -0.22050496  0.0158552  -0.20512242  0.01538254],1.0,1.0
[-0.19028128  0.01484114 -0.17604376  0.01423752 -0.16246561  0.01357815],1.0,1.0
[-0.14959635  0.01286926 -0.13747952  0.01211683 -0.12615306  0.01132646],1.0,1.0
[-0.11564969  0.01050337 -0.10599735  0.00965234 -0.09721967  0.00877767],1.0,1.0
[-0.08933642  0.00788325 -0.08236392  0.0069725  -0.07631548  0.00604843],1.0,1.0
[-0.07120181  0.00511367 -0.06703132  0.00417049 -0.06381046  0.00322087],1.0,1.0
[-0.06154392  0.00226653 -0.0602349   0.00130902 -0.05988517  0.00034973],1.0,1.0
[-0.0604952  -0.00061003 -0.06206418 -0.00156897 -0.06458994 -0.00252576],1.0,1.0
[-0.06806892 -0.00347898 -0.07249595 -0.00442703 -0.07786409 -0.00536814],0.8140441,0.99999976
[-0.08444327 -0.00657918 -0.09222159 -0.00777832 -0.10118377 -0.00896218],1.0,0.99999976
[-0.11103165 -0.00984788 -0.12174213 -0.01071047 -0.1332877  -0.01154558],1.0,0.99999976
[-0.14563607 -0.01234836 -0.15874959 -0.01311353 -0.17258492 -0.01383533],1.0,0.99999976
[-0.18709258 -0.01450766 -0.20221668 -0.0151241  -0.21789468 -0.015678  ],1.0,0.99999976
[-0.23405731 -0.01616263 -0.25062854 -0.01657123 -0.26752578 -0.01689724],0.85695964,0.99999976
[-0.28487471 -0.01734893 -0.30257946 -0.01770475 -0.3205376  -0.01795814],0.56719774,1.0
[-0.33907543 -0.01853783 -0.35807679 -0.01900136 -0.37741837 -0.01934158],0.8423384,1.0
[-0.39655799 -0.01913962 -0.41536401 -0.01880602 -0.4337041  -0.01834008],0.93690723,1.0
[-0.45130489 -0.01760079 -0.46803828 -0.01673339 -0.48378109 -0.01574281],0.89311504,1.0
[-0.49848215 -0.01470106 -0.51203174 -0.01354958 -0.52432838 -0.01229665],0.97964984,1.0
[-0.53515008 -0.0108217  -0.54441569 -0.00926561 -0.5520558  -0.00764011],0.75900817,1.0
[-0.55834423 -0.00628843 -0.56323402 -0.0048898  -0.56668874 -0.00345472],0.6234441,1.0
"[-5.68886018e-01 -2.19727740e-03 -5.69809518e-01 -9.23500918e-04
 -5.69452382e-01  3.57136691e-04]",0.7574278,1.0
[-0.56761628  0.0018361  -0.56431487  0.00330141 -0.55957271  0.00474216],0.51378316,1.0
[-0.55379059  0.00578212 -0.54701166  0.00677892 -0.53928661  0.00772505],0.49547943,1.0
[-0.53070073  0.00858589 -0.52131836  0.00938237 -0.51120988  0.01010848],0.6650054,1.0
[-0.50019678  0.01101309 -0.48836155  0.01183523 -0.4757926   0.01256895],0.9115289,1.0
[-0.46221367  0.01357893 -0.44772524  0.01448843 -0.43243367  0.01529157],0.8541402,1.0
[-0.41653613  0.01589754 -0.40014662  0.01638951 -0.38338076  0.01676585],0.663888,1.0
[-0.36663997  0.01674079 -0.35003751  0.01660246 -0.33368291  0.0163546 ],0.71001655,1.0
[-0.31761183  0.01607108 -0.30192416  0.01568767 -0.28671416  0.01521   ],0.7892338,1.0
[-0.27195114  0.01476303 -0.25771738  0.01423376 -0.24408905  0.01362833],0.49886572,1.0
[-0.23157158  0.01251747 -0.22022639  0.01134518 -0.21010685  0.01011954],0.5309328,1.0
[-0.20121051  0.00889634 -0.19357596  0.00763454 -0.18723518  0.00634078],0.64099526,1.0
