State,Action,Action wo Noise
[-0.52196279  0.         -0.52196279  0.         -0.52196279  0.        ],-0.9999354,-0.9999354
[-0.52347496 -0.00151217 -0.52648796 -0.003013   -0.5309792  -0.00449124],-0.9999906,-0.9999906
[-0.53691508 -0.00593588 -0.5442511  -0.00733602 -0.5529323  -0.00868121],-0.9999979,-0.9999979
[-0.56289379 -0.00996149 -0.57406125 -0.01116745 -0.58635167 -0.01229043],-0.999998,-0.999998
[-0.59967423 -0.01332255 -0.61393115 -0.01425692 -0.62901884 -0.01508769],-0.9999935,-0.9999935
[-0.64482898 -0.01581014 -0.6612498  -0.01642082 -0.67816732 -0.01691752],-0.9999041,-0.9999041
[-0.69546654 -0.01729921 -0.71303296 -0.01756642 -0.73075373 -0.01772077],-0.99543965,-0.99543965
[-0.74851209 -0.01775836 -0.76620187 -0.01768979 -0.78372173 -0.01751986],-0.56454134,-0.56454134
[-0.80032955 -0.01660781 -0.81593902 -0.01560947 -0.83047321 -0.01453419],0.98219013,0.98219013
[-0.84154417 -0.01107096 -0.84910275 -0.00755857 -0.85311666 -0.00401391],0.9999957,0.9999957
"[-8.53542501e-01 -4.25841490e-04 -8.50378516e-01  3.16398541e-03
 -8.43637821e-01  6.74069466e-03]",1.0,1.0
[-0.83334898  0.01028884 -0.81955721  0.01379177 -0.80232611  0.0172311 ],1.0,1.0
[-0.78173978  0.02058633 -0.7579052   0.02383459 -0.73095449  0.0269507 ],1.0,1.0
[-0.701047    0.0299075  -0.66837061  0.03267638 -0.63314226  0.03522836],1.0,1.0
[-0.59560703  0.03753522 -0.55603594  0.0395711  -0.51472195  0.04131399],1.0,1.0
[-0.47197452  0.04274742 -0.42811274  0.04386179 -0.38345734  0.04465539],1.0,1.0
[-0.33832232  0.04513503 -0.29300641  0.04531591 -0.24778527  0.04522114],1.0,1.0
[-0.20290464  0.04488063 -0.15857497  0.04432967 -0.11496769  0.04360727],1.0,1.0
[-0.07221319  0.0427545  -0.03040025  0.04181294  0.01042307  0.04082333],1.0,1.0
[0.05024762 0.03982455 0.08910052 0.0388529  0.12704221 0.03794168],1.0,1.0
[0.16416327 0.03712107 0.20058144 0.03641817 0.23643874 0.0358573 ],1.0,1.0
[0.27189902 0.03546028 0.3071459  0.03524688 0.34238109 0.03523519],1.0,1.0
