State,Action,Action wo Noise
[-0.59044737  0.         -0.59044737  0.         -0.59044737  0.        ],-0.90917844,-0.90917844
[-0.59131313 -0.00086576 -0.59303828 -0.00172515 -0.59561016 -0.00257188],-0.9665423,-0.9665423
[-0.59909596 -0.0034858  -0.60347018 -0.00437422 -0.60870089 -0.00523071],-0.9885315,-0.9885315
[-0.61478304 -0.00608215 -0.62167261 -0.00688956 -0.62931998 -0.00764737],-0.992745,-0.992745
[-0.63767679 -0.00835681 -0.64668374 -0.00900695 -0.6562775  -0.00959376],-0.9897781,-0.9897781
[-0.66638691 -0.01010941 -0.67694252 -0.01055562 -0.68787286 -0.01093034],-0.97365236,-0.97365236
[-0.6990809  -0.01120804 -0.71049325 -0.01141235 -0.72203667 -0.01154342],-0.8593998,-0.8593998
[-0.73346727 -0.0114306  -0.7447149  -0.01124763 -0.75571224 -0.01099734],-0.07278794,-0.07278794
[-0.76521522 -0.00950298 -0.77316983 -0.00795461 -0.77953188 -0.00636205],0.9583503,0.9583503
"[-7.82720016e-01 -3.18813823e-03 -7.82717122e-01  2.89425190e-06
 -7.79523210e-01  3.19391126e-03]",0.999861,0.999861
[-0.77309317  0.00643004 -0.76346202  0.00963115 -0.75068338  0.01277863],0.99999857,0.99999857
[-0.73483033  0.01585305 -0.71599697  0.01883336 -0.69429942  0.02169755],0.99999976,0.99999976
[-0.66987685  0.02442258 -0.64289206  0.02698479 -0.61353155  0.02936051],1.0,1.0
[-0.5820047   0.03152685 -0.54854204  0.03346266 -0.51339248  0.03514956],1.0,1.0
[-0.47681946  0.03657302 -0.43909613  0.03772333 -0.40049981  0.03859633],1.0,1.0
[-0.36130588  0.03919393 -0.32178163  0.03952425 -0.28218021  0.03960142],1.0,1.0
[-0.24273524  0.03944497 -0.20365619  0.03907905 -0.16512487  0.03853132],1.0,1.0
[-0.12729303  0.03783184 -0.09028111  0.03701192 -0.05417805  0.03610306],1.0,1.0
[-0.01904204  0.03513601  0.01509805  0.03414009  0.0482407   0.03314265],1.0,1.0
[0.08040949 0.03216879 0.11165066 0.03124117 0.14203077 0.03038011],1.0,1.0
[0.17163441 0.02960364 0.2005622  0.02892779 0.22892903 0.02836683],1.0,1.0
[0.25686265 0.02793362 0.28450251 0.02763986 0.31199901 0.0274965 ],1.0,1.0
[0.33951297 0.02751396 0.36721541 0.02770244 0.39528752 0.02807212],1.0,1.0
