State,Action,Action wo Noise
[-0.46442252  0.         -0.46442252  0.         -0.46442252  0.        ],-0.99998575,-0.99998575
[-0.46636399 -0.00194147 -0.47023259 -0.00386861 -0.47599972 -0.00576712],-0.9999985,-0.9999985
[-0.48362262 -0.0076229  -0.49304462 -0.009422   -0.50419546 -0.01115084],-0.9999998,-0.9999998
[-0.51699174 -0.01279628 -0.53133757 -0.01434583 -0.54712536 -0.01578779],-0.9999999,-0.9999999
[-0.56423685 -0.01711149 -0.58254431 -0.01830746 -0.60191197 -0.01936767],-0.99999946,-0.99999946
[-0.62219768 -0.02028571 -0.64325463 -0.02105695 -0.6649333  -0.02167868],-0.99998665,-0.99998665
[-0.68708343 -0.02215013 -0.70955597 -0.02247254 -0.73220504 -0.02264907],-0.99837786,-0.99837786
[-0.75488727 -0.02268223 -0.77746828 -0.02258101 -0.79982165 -0.02235336],-0.49517274,-0.49517274
[-0.82107519 -0.02125354 -0.841125   -0.02004981 -0.85988028 -0.01875528],0.9967097,0.9967097
[-0.87502495 -0.01514468 -0.88650071 -0.01147575 -0.89426632 -0.00776562],0.99999976,0.99999976
"[-8.98290473e-01 -4.02414972e-03 -8.98559952e-01 -2.69479053e-04
 -8.95073888e-01  3.48606401e-03]",1.0,1.0
[-0.88784368  0.00723021 -0.87689375  0.01094993 -0.86226307  0.01463068],1.0,1.0
[-0.84400739  0.01825569 -0.82220196  0.02180542 -0.79694475  0.02525721],1.0,1.0
[-0.76835961  0.02858514 -0.73659934  0.03176028 -0.70184808  0.03475126],1.0,1.0
[-0.66432275  0.03752532 -0.62427307  0.04004968 -0.58197976  0.04229331],1.0,1.0
[-0.53775083  0.04422893 -0.49191579  0.04583504 -0.44481802  0.04709778],1.0,1.0
[-0.39680561  0.04801241 -0.34822139  0.04858422 -0.29939264  0.04882874],1.0,1.0
[-0.25062149  0.04877115 -0.20217638  0.04844511 -0.15428535  0.04789103],1.0,1.0
[-0.10713127  0.04715408 -0.06084918  0.04628209 -0.01552555  0.04532363],1.0,1.0
[0.02880078 0.04432634 0.07213645 0.04333567 0.11453043 0.04239398],1.0,1.0
[0.15607053 0.0415401  0.19687969 0.04080916 0.23711238 0.0402327 ],1.0,1.0
[0.27695136 0.03983897 0.31660472 0.03965336 0.35630349 0.03969877],1.0,1.0
