State,Action,Action wo Noise
[-0.58071969  0.         -0.58071969  0.         -0.58071969  0.        ],1.0,1.0
[-0.57879338  0.00192631 -0.574955    0.00383838 -0.56923296  0.00572203],1.0,1.0
[-0.56166974  0.00756322 -0.55232161  0.00934813 -0.54125832  0.01106329],1.0,1.0
[-0.52856265  0.01269567 -0.51432975  0.0142329  -0.49866635  0.01566339],1.0,1.0
[-0.48168978  0.01697657 -0.4635267   0.01816308 -0.44431172  0.01921498],1.0,1.0
[-0.42418581  0.02012592 -0.40329448  0.02089132 -0.38178598  0.0215085 ],1.0,1.0
[-0.35980928  0.0219767  -0.33751216  0.02229712 -0.31503932  0.02247284],1.0,1.0
[-0.2925306   0.02250872 -0.27011939  0.02241121 -0.24793128  0.02218811],1.0,1.0
[-0.22608293  0.02184835 -0.20468126  0.02140167 -0.1838229   0.02085836],1.0,1.0
[-0.16359394  0.02022897 -0.14406988  0.01952405 -0.12531593  0.01875395],1.0,1.0
[-0.10738739  0.01792855 -0.09033022  0.01705717 -0.07418182  0.0161484 ],1.0,1.0
[-0.05897177  0.01521005 -0.04472269  0.01424907 -0.03145115  0.01327154],1.0,1.0
[-0.01916849  0.01228266 -0.00788169  0.01128679  0.0024058   0.01028749],1.0,1.0
[0.01169336 0.00928756 0.01998246 0.0082891  0.02727604 0.00729359],1.0,1.0
[0.033578   0.00630195 0.03889262 0.00531463 0.04322425 0.00433162],1.0,1.0
[0.04657686 0.00335261 0.04895384 0.00237698 0.05035773 0.00140389],1.0,1.0
[ 0.0507901   0.00043237  0.05025143 -0.00053867  0.04874112 -0.00151031],1.0,1.0
[ 0.04625748 -0.00248364  0.04279788 -0.0034596   0.03835886 -0.00443902],0.99999976,0.99999976
[ 0.03293637 -0.00542249  0.02652607 -0.0064103   0.01912369 -0.00740238],0.99999976,0.99999976
[ 0.01072542 -0.00839827  0.00132844 -0.00939698 -0.00906852 -0.01039696],0.9999995,0.9999995
[-0.02046455 -0.01139603 -0.03285588 -0.01239132 -0.04623507 -0.01337919],0.9999995,0.9999995
[-0.06059025 -0.01435518 -0.07590424 -0.01531399 -0.0921537  -0.01624946],0.9999995,0.9999995
[-0.10930823 -0.01715453 -0.12732954 -0.01802131 -0.14617066 -0.01884112],0.9999995,0.9999995
[-0.16577525 -0.01960459 -0.18607699 -0.02030174 -0.20699921 -0.02092222],0.99999976,0.99999976
[-0.22845468 -0.02145547 -0.25034563 -0.02189094 -0.27256402 -0.0222184 ],0.99999976,0.99999976
[-0.29499219 -0.02242816 -0.31750362 -0.02251143 -0.33996415 -0.02246053],1.0,1.0
[-0.36223333 -0.02226918 -0.38416603 -0.0219327  -0.40561424 -0.02144821],1.0,1.0
[-0.42642898 -0.02081474 -0.44646221 -0.02003323 -0.46556881 -0.01910661],1.0,1.0
[-0.48360845 -0.01803964 -0.50044729 -0.01683884 -0.51595963 -0.01551234],1.0,1.0
[-0.53002926 -0.01406963 -0.54255066 -0.0125214  -0.55343001 -0.01087934],1.0,1.0
[-0.56258591 -0.0091559  -0.56995008 -0.00736417 -0.57546773 -0.00551765],1.0,1.0
"[-5.79097933e-01 -3.63020301e-03 -5.80813813e-01 -1.71587981e-03
 -5.80602684e-01  2.11128984e-04]",1.0,1.0
[-0.57846611  0.00213658 -0.57441988  0.00404623 -0.56849397  0.00592591],1.0,1.0
