State,Action,Action wo Noise
[-0.52448964  0.         -0.52448964  0.         -0.52448964  0.        ],-0.99904966,-0.99904966
[-0.52598154 -0.00149189 -0.52895413 -0.0029726  -0.53338514 -0.00443101],-0.9998959,-0.9998959
[-0.53924261 -0.00585746 -0.54648263 -0.00724002 -0.555051   -0.00856837],-0.9999879,-0.9999879
[-0.56488381 -0.00983281 -0.57590776 -0.01102395 -0.58804098 -0.01213322],-0.9999944,-0.9999944
[-0.60119388 -0.0131529  -0.61527005 -0.01407617 -0.63016731 -0.01489726],-0.9999906,-0.9999906
[-0.64577884 -0.01561153 -0.66199439 -0.01621555 -0.67870152 -0.01670713],-0.9999464,-0.9999464
[-0.69578682 -0.0170853  -0.71313731 -0.01735048 -0.73064155 -0.01750424],-0.9991672,-0.9991672
[-0.74818965 -0.01754811 -0.76567667 -0.01748701 -0.78300228 -0.01732562],-0.96747625,-0.96747625
[-0.8000241  -0.01702182 -0.81665352 -0.01662942 -0.83280865 -0.01615512],0.14946938,0.14946938
[-0.84673906 -0.01393042 -0.85838388 -0.01164482 -0.86769495 -0.00931107],0.9979967,0.9979967
[-0.87336284 -0.00566789 -0.87536606 -0.00200322 -0.87369716  0.0016689 ],0.99999905,0.99999905
[-0.86835934  0.00533782 -0.85937278  0.00898656 -0.84677271  0.01260007],1.0,1.0
[-0.8306111   0.01616161 -0.81095892  0.01965218 -0.78790875  0.02305018],1.0,1.0
[-0.76157754  0.02633121 -0.73210929  0.02946824 -0.69967723  0.03243206],1.0,1.0
[-0.66448514  0.03519209 -0.62676759  0.03771756 -0.58678856  0.03997903],1.0,1.0
[-0.54483844  0.04195012 -0.50122913  0.04360931 -0.45628747  0.04494166],1.0,1.0
[-0.41034722  0.04594025 -0.36374011  0.04660711 -0.31678651  0.0469536 ],1.0,1.0
[-0.26978638  0.04700013 -0.22301116  0.04677522 -0.176697    0.04631417],1.0,1.0
[-0.13103973  0.04565726 -0.08619177  0.04484797 -0.04226069  0.04393108],1.0,1.0
[0.00069046 0.04295114 0.04264161 0.04195115 0.08361318 0.04097158],1.0,1.0
[0.123663   0.04004982 0.16288289 0.03921989 0.20139537 0.03851247],1.0,1.0
[0.23935043 0.03795506 0.27692277 0.03757234 0.31430933 0.03738657],1.0,1.0
[0.35172735 0.03741801 0.38941269 0.03768534 0.4276186  0.03820591],1.0,1.0
