State,Action,Action wo Noise
[-0.56631481  0.         -0.56631481  0.         -0.56631481  0.        ],-0.9203272,-0.9378322
[-0.56737581 -0.001061   -0.56948991 -0.0021141  -0.57264141 -0.0031515 ],-0.9310382,-0.9656954
[-0.57682297 -0.00418156 -0.5820036  -0.00518063 -0.58814499 -0.00614139],-0.92440766,-0.98007715
[-0.59519191 -0.00704692 -0.60309261 -0.0079007  -0.61178936 -0.00869675],-0.99637806,-0.9834589
[-0.62132694 -0.00953757 -0.63163657 -0.01030964 -0.6426446  -0.01100803],-1.0,-0.98067397
[-0.65427865 -0.01163405 -0.66645751 -0.01217886 -0.67909744 -0.01263992],-1.0,-0.9683023
[-0.69211296 -0.01301552 -0.70541778 -0.01330482 -0.71892557 -0.0135078 ],-1.0,-0.9209633
[-0.73255083 -0.01362525 -0.74620958 -0.01365875 -0.75982011 -0.01361054],-0.82754296,-0.72823685
[-0.77304491 -0.0132248  -0.78580998 -0.01276506 -0.7980464  -0.01223643],-0.033373684,0.08281994
[-0.80849933 -0.01045293 -0.81711638 -0.00861705 -0.82385577 -0.00673939],0.8572267,0.9328084
"[-8.27349801e-01 -3.49403098e-03 -8.27582311e-01 -2.32510411e-04
 -8.24552233e-01  3.03007822e-03]",1.0,0.99890816
[-0.8180594   0.00649283 -0.80813434  0.00992506 -0.79482515  0.0133092 ],0.9899597,0.9999714
[-0.77821397  0.01661118 -0.75838859  0.01982538 -0.73545938  0.0229292 ],0.9804126,0.99999714
[-0.70957544  0.02588394 -0.68089731  0.02867814 -0.64961211  0.03128519],1.0,0.99999905
[-0.61590417  0.03370794 -0.58001275  0.03589142 -0.54220025  0.03781251],1.0,0.99999905
[-0.5027483   0.03945194 -0.46195264  0.04079567 -0.42011668  0.04183595],1.0,0.9999974
[-0.37754444  0.04257224 -0.33453289  0.04301155 -0.29136451  0.04316838],1.0,0.9999914
[-0.24830036  0.04306414 -0.20557411  0.04272626 -0.1633873   0.04218681],0.99521196,0.9999876
[-0.12191331  0.04147399 -0.08128115  0.04063216 -0.04158222  0.03969893],0.9667408,0.9999981
[-0.00291375  0.03866847  0.03470493  0.03761868  0.07128725  0.03658233],1.0,1.0
[0.10692653 0.03563928 0.14169334 0.0347668  0.17568263 0.03398929],1.0,1.0
[0.20901118 0.03332855 0.2418153  0.03280412 0.27424891 0.03243361],1.0,1.0
[0.306482   0.03223309 0.33869943 0.03221743 0.37110015 0.03240072],1.0,1.0
