State,Action,Action wo Noise
[-0.44276876  0.         -0.44276876  0.         -0.44276876  0.        ],0.99859464,1.0
[-0.44187117  0.00089759 -0.44008253  0.00178865 -0.43741582  0.0026667 ],1.0,1.0
[-0.43388832  0.00352751 -0.42952555  0.00436277 -0.424359    0.00516655],0.92362195,1.0
[-0.41854036  0.00581863 -0.41211126  0.00642911 -0.40511737  0.00699389],1.0,1.0
[-0.3974935   0.00762387 -0.38929302  0.00820048 -0.3805728   0.00872022],1.0,1.0
[-0.37139266  0.00918014 -0.36181481  0.00957785 -0.35190326  0.00991155],0.95648366,1.0
[-0.34178851  0.01011475 -0.331536    0.01025251 -0.32121084  0.01032516],0.5981849,1.0
[-0.31141476  0.00979608 -0.30220746  0.00920729 -0.29364391  0.00856355],0.64205164,1.0
[-0.28570837  0.00793555 -0.27844628  0.00726209 -0.27189843  0.00654785],0.65763456,1.0
[-0.26607753  0.0058209  -0.26101512  0.00506241 -0.25673817  0.00427695],0.84587073,1.0
[-0.25298682  0.00375135 -0.24978055  0.00320627 -0.24713581  0.00264474],0.9301415,1.0
[-0.24493966  0.00219615 -0.24320317  0.00173648 -0.24193506  0.00126811],1.0,1.0
"[-2.41036867e-01  8.98196892e-04 -2.40513047e-01  5.23819359e-04
 -2.40366203e-01  1.46844479e-04]",1.0,1.0
"[-2.40597061e-01 -2.30857696e-04 -2.41204477e-01 -6.07416311e-04
 -2.42185439e-01 -9.80961774e-04]",1.0,1.0
[-0.24353507 -0.00134963 -0.24524662 -0.00171155 -0.24731151 -0.00206489],0.97799844,1.0
[-0.24975231 -0.0024408  -0.2525566  -0.00280429 -0.25570999 -0.00315339],1.0,1.0
[-0.25916315 -0.00345315 -0.262898   -0.00373485 -0.26689477 -0.00399678],0.91397023,1.0
[-0.27126114 -0.00436636 -0.27597343 -0.00471229 -0.28100578 -0.00503236],1.0,1.0
[-0.28620117 -0.00519539 -0.2915303  -0.00532913 -0.2969627  -0.0054324 ],1.0,1.0
[-0.30246691 -0.00550421 -0.30801061 -0.0055437  -0.31356083 -0.00555022],1.0,1.0
[-0.31908413 -0.00552331 -0.32454686 -0.00546273 -0.32991533 -0.00536846],1.0,1.0
[-0.33515604 -0.00524072 -0.34023599 -0.00507995 -0.34512285 -0.00488686],1.0,1.0
[-0.34978523 -0.00466238 -0.35419293 -0.0044077  -0.35831719 -0.00412426],0.982494,1.0
[-0.36215714 -0.00383995 -0.36568738 -0.00353024 -0.36888441 -0.00319703],0.99689716,1.0
[-0.37170523 -0.00282082 -0.37413089 -0.00242566 -0.37614503 -0.00201414],0.96452117,1.0
[-0.37778257 -0.00163754 -0.3790324  -0.00124983 -0.37988603 -0.00085363],0.9202456,1.0
"[-3.80404049e-01 -5.18021456e-04 -3.80582934e-01 -1.78885073e-04
 -3.80421463e-01  1.61471195e-04]",0.901032,1.0
[-0.37994956  0.00047191 -0.37917043  0.00077912 -0.3780894   0.00108104],0.5952184,1.0
[-0.37717252  0.00091687 -0.37642604  0.00074648 -0.37585501  0.00057103],0.8407163,1.0
[-0.37509506  0.00075995 -0.37415133  0.00094373 -0.3730302   0.00112112],1.0,1.0
[-0.37150033  0.00152987 -0.36957202  0.00192831 -0.36725824  0.00231378],0.9953981,1.0
[-0.3645814   0.00267684 -0.36155937  0.00302203 -0.35821223  0.00334714],0.97493875,1.0
[-0.35459282  0.00361942 -0.35072492  0.00386789 -0.34663383  0.00409109],0.7429211,1.0
[-0.34269412  0.00393971 -0.33893118  0.00376294 -0.3353691   0.00356208],0.74241656,1.0
[-0.33203128  0.00333782 -0.32893879  0.00309249 -0.32611105  0.00282774],0.8822738,1.0
[-0.32335592  0.00275513 -0.32069048  0.00266544 -0.31813119  0.00255929],1.0,1.0
[-0.31551716  0.00261403 -0.31286434  0.00265282 -0.31018883  0.00267551],1.0,1.0
[-0.30750677  0.00268206 -0.30483424  0.00267253 -0.30218717  0.00264707],0.82489765,1.0
[-0.2998439   0.00234327 -0.29781822  0.00202568 -0.29612201  0.00169621],0.76876855,1.0
[-0.29484934  0.00127266 -0.29400762  0.00084172 -0.29360173  0.0004059 ],1.0,1.0
"[-2.93287159e-01  3.14569151e-04 -2.93065735e-01  2.21424396e-04
 -2.92938735e-01  1.27000185e-04]",1.0,1.0
"[-2.92906892e-01  3.18424486e-05 -2.92970392e-01 -6.34991673e-05
 -2.93128866e-01 -1.58474083e-04]",1.0,1.0
"[-2.93381399e-01 -2.52533578e-04 -2.93726533e-01 -3.45133575e-04
 -2.94162270e-01 -4.35737422e-04]",0.83588153,1.0
[-0.29493227 -0.00077    -0.29603206 -0.00109979 -0.29745525 -0.00142319],1.0,1.0
[-0.29894738 -0.00149212 -0.3004997  -0.00155233 -0.30210311 -0.00160341],1.0,1.0
[-0.30374817 -0.00164505 -0.30542512 -0.00167696 -0.30712403 -0.00169891],1.0,1.0
[-0.30883476 -0.00171073 -0.31054706 -0.00171231 -0.31225067 -0.0017036 ],1.0,1.0
[-0.31393529 -0.00168462 -0.31559073 -0.00165544 -0.31720694 -0.00161621],0.72211134,1.0
[-0.31919089 -0.00198395 -0.32153044 -0.00233955 -0.3242112  -0.00268076],0.69977456,1.0
[-0.32725012 -0.00303892 -0.33062829 -0.00337817 -0.33432458 -0.00369629],0.61861515,1.0
[-0.33843745 -0.00411287 -0.34294078 -0.00450333 -0.34780576 -0.00486498],0.77523774,1.0
[-0.35276605 -0.0049603  -0.35778938 -0.00502333 -0.36284277 -0.00505339],0.98817307,1.0
[-0.36757338 -0.00473061 -0.37194965 -0.00437627 -0.3759422  -0.00399255],0.73328376,1.0
[-0.37990638 -0.00396418 -0.38381527 -0.00390888 -0.38764214 -0.00382688],0.9668088,1.0
[-0.39101044 -0.0033683  -0.39389693 -0.00288648 -0.3962816  -0.00238467],1.0,1.0
[-0.3980981  -0.0018165  -0.39933378 -0.00123568 -0.39998001 -0.00064623],1.0,1.0
"[-4.00032267e-01 -5.22612158e-05 -3.99490197e-01  5.42069960e-04
 -3.98357584e-01  1.13261296e-03]",1.0,1.0
[-0.39664234  0.00171525 -0.39435641  0.00228593 -0.39151569  0.00284072],1.0,1.0
[-0.38813988  0.00337581 -0.38425227  0.0038876  -0.37987959  0.00437268],1.0,1.0
[-0.37505172  0.00482787 -0.36980143  0.00525028 -0.36416414  0.0056373 ],0.8956268,1.0
[-0.35833409  0.00583005 -0.35234992  0.00598416 -0.34625093  0.006099  ],1.0,1.0
[-0.33992017  0.00633076 -0.33339834  0.00652183 -0.32672685  0.00667149],0.92208815,1.0
[-0.32006441  0.00666244 -0.31345225  0.00661217 -0.3069307   0.00652155],0.8705712,1.0
[-0.30061627  0.00631443 -0.29454638  0.00606989 -0.2887565   0.00578989],1.0,1.0
[-0.28308579  0.0056707  -0.27756644  0.00551935 -0.27222929  0.00533715],0.7366865,1.0
