State,Action,Action wo Noise
[-0.4552009  0.        -0.4552009  0.        -0.4552009  0.       ],-0.9999945,-0.9999945
[-0.45721028 -0.00200938 -0.46121428 -0.004004   -0.46718344 -0.00596915],-0.9999994,-0.9999994
[-0.47507369 -0.00789025 -0.48482659 -0.0097529  -0.49636963 -0.01154304],-0.9999999,-0.9999999
[-0.50961666 -0.01324703 -0.52446852 -0.01485186 -0.54081386 -0.01634534],-0.9999999,-0.9999999
[-0.55853015 -0.01771629 -0.57748493 -0.01895478 -0.59753732 -0.02005239],-0.9999994,-0.9999994
[-0.61853971 -0.02100239 -0.64033962 -0.02179992 -0.66278177 -0.02244215],-0.9999823,-0.9999823
[-0.68571009 -0.02292832 -0.70896992 -0.02325982 -0.73240999 -0.02344007],-0.99732995,-0.99732995
[-0.75588041 -0.02347042 -0.77924232 -0.02336191 -0.80236541 -0.02312309],-0.20750618,-0.20750618
[-0.82394433 -0.02157892 -0.84387459 -0.01993026 -0.86206694 -0.01819235],0.9989058,0.9989058
[-0.8766367  -0.01456976 -0.88752829 -0.01089159 -0.89470289 -0.0071746 ],0.99999976,0.99999976
"[-8.98134582e-01 -3.43168750e-03 -8.97812104e-01  3.22477820e-04
 -8.93736508e-01  4.07559621e-03]",1.0,1.0
[-0.88592121  0.0078153  -0.87439285  0.01152835 -0.85919299  0.01519987],1.0,1.0
[-0.84038033  0.01881266 -0.81803363  0.0223467  -0.79225483  0.0257788 ],1.0,1.0
[-0.76317228  0.02908255 -0.73094367  0.03222861 -0.69575834  0.03518533],1.0,1.0
[-0.65783845  0.03791989 -0.61743876  0.04039969 -0.57484453  0.04259423],1.0,1.0
[-0.53036747  0.04447706 -0.48433965  0.04602782 -0.43710559  0.04723406],1.0,1.0
[-0.38901298  0.04809261 -0.34040255  0.04861042 -0.29159797  0.04880458],1.0,1.0
[-0.24289628  0.04870169 -0.1945597   0.04833657 -0.14680923  0.04775047],1.0,1.0
[-0.09982018  0.04698905 -0.05371987  0.04610031 -0.00858717  0.04513271],1.0,1.0
[0.03554637 0.04413353 0.0786941  0.04314774 0.12091119 0.04221708],1.0,1.0
[0.16229094 0.04137976 0.2029612  0.04067026 0.24308073 0.04011954],1.0,1.0
[0.28283607 0.03975534 0.32243865 0.03960258 0.36212246 0.0396838 ],1.0,1.0
