State,Action,Action wo Noise
[-0.48099491  0.         -0.48099491  0.         -0.48099491  0.        ],-0.99999875,-0.99999875
[-0.48281356 -0.00181866 -0.48643735 -0.00362378 -0.49183926 -0.00540191],-0.9999999,-0.9999999
[-0.49897901 -0.00713975 -0.50780324 -0.00882423 -0.51824589 -0.01044265],-1.0,-1.0
[-0.53022869 -0.0119828  -0.54366177 -0.01343308 -0.55844446 -0.01478269],-1.0,-1.0
[-0.57446629 -0.01602183 -0.59160809 -0.0171418  -0.60974335 -0.01813526],-0.99999994,-0.99999994
[-0.6287397  -0.01899635 -0.6484605  -0.0197208  -0.66876658 -0.02030608],-0.9999978,-0.9999978
[-0.68951799 -0.02075141 -0.71057576 -0.02105777 -0.73180359 -0.02122783],-0.99942076,-0.99942076
[-0.75306859 -0.021265   -0.77424444 -0.02117585 -0.79521179 -0.02096735],-0.5471753,-0.5471753
[-0.81518086 -0.01996907 -0.83405225 -0.01887138 -0.85173831 -0.01768607],0.99798,0.99798
[-0.86584503 -0.01410672 -0.87631575 -0.01047071 -0.88311086 -0.00679512],1.0,1.0
"[-8.86202811e-01 -3.09194886e-03 -8.85580727e-01  6.22083446e-04
 -8.81246782e-01  4.33394507e-03]",1.0,1.0
[-0.87321631  0.00803047 -0.86151871  0.0116976  -0.84619905  0.01531966],1.0,1.0
[-0.82732028  0.01887877 -0.80496597  0.02235431 -0.77924323  0.02572275],1.0,1.0
[-0.75028565  0.02895757 -0.71825598  0.03202967 -0.68334795  0.03490803],1.0,1.0
[-0.64578715  0.03756081 -0.60583032  0.03995683 -0.56376298  0.04206733],1.0,1.0
[-0.51989515  0.04386784 -0.47455509  0.04534006 -0.42808153  0.04647356],1.0,1.0
[-0.38081459  0.04726694 -0.33308608  0.04772851 -0.28520988  0.04787619],1.0,1.0
[-0.23747305  0.04773684 -0.19012817  0.04734488 -0.14338752  0.04674065],1.0,1.0
[-0.09741912  0.0459684  -0.05234471  0.04507441 -0.00823954  0.04410517],1.0,1.0
[0.0348664  0.04310594 0.076986   0.0421196  0.11817198 0.04118598],1.0,1.0
[0.15851342 0.04034144 0.19813225 0.03961883 0.23717987 0.03904761],1.0,1.0
[0.27583409 0.03865422 0.31429652 0.03846243 0.35279031 0.0384938 ],1.0,1.0
