State,Action,Action wo Noise
[-0.47383471  0.         -0.47383471  0.         -0.47383471  0.        ],-0.9999917,-0.9999917
[-0.47570654 -0.00187183 -0.47943632 -0.00372978 -0.48499634 -0.00556002],-0.99999917,-0.99999917
[-0.49234522 -0.00734889 -0.50142817 -0.00908294 -0.51217727 -0.0107491 ],-0.9999999,-0.9999999
[-0.52451201 -0.01233474 -0.5383399  -0.01382789 -0.55355727 -0.01521737],-0.9999999,-0.9999999
[-0.57005026 -0.01649298 -0.58769598 -0.01764572 -0.60636394 -0.01866795],-0.99999934,-0.99999934
[-0.62591751 -0.01955357 -0.64621568 -0.02029817 -0.66711483 -0.02089915],-0.9999763,-0.9999763
[-0.68847052 -0.02135569 -0.71013944 -0.02166892 -0.73198116 -0.02184172],-0.99635756,-0.99635756
[-0.75385437 -0.02187321 -0.7756293  -0.02177493 -0.79718356 -0.02155426],-0.063323796,-0.063323796
[-0.81700365 -0.01982009 -0.83499155 -0.01798789 -0.85106414 -0.0160726 ],0.9992893,0.9992893
[-0.86355823 -0.01249409 -0.87242328 -0.00886505 -0.87762523 -0.00520195],1.0,1.0
[-0.87914376 -0.00151853 -0.87697334  0.00217042 -0.87112188  0.00585146],1.0,1.0
[-0.86161116  0.00951072 -0.84847802  0.01313315 -0.83177612  0.01670189],1.0,1.0
[-0.81157838  0.02019774 -0.78797963  0.02359876 -0.76109947  0.02688016],1.0,1.0
[-0.73108498  0.03001448 -0.69811291  0.03297207 -0.66239096  0.03572195],1.0,1.0
[-0.62415789  0.03823307 -0.58368202  0.04047588 -0.54125795  0.04242406],1.0,1.0
[-0.49720151  0.04405645 -0.45184283  0.04535867 -0.40551818  0.04632465],1.0,1.0
[-0.35856073  0.04695745 -0.31129111  0.04726962 -0.26400829  0.04728281],1.0,1.0
[-0.2169815   0.0470268  -0.17044348  0.04653802 -0.1245857   0.04585778],1.0,1.0
[-0.07955532  0.04503038 -0.03545408  0.04410124  0.00766129  0.04311537],1.0,1.0
[0.04977732 0.04211603 0.09092117 0.04114385 0.13115745 0.04023628],1.0,1.0
[0.17058477 0.03942732 0.20933237 0.0387476  0.24755696 0.03822459],1.0,1.0
[0.28543989 0.03788293 0.32318476 0.03774487 0.36101546 0.0378307 ],1.0,1.0
