State,Action,Action wo Noise
[-0.5008386  0.        -0.5008386  0.        -0.5008386  0.       ],0.8546997,1.0
[-0.49972712  0.00111148 -0.49751247  0.00221465 -0.49421122  0.00330125],1.0,1.0
[-0.4896301   0.00458113 -0.4838033   0.0058268  -0.47677425  0.00702904],1.0,1.0
[-0.46859524  0.00817901 -0.45932688  0.00926836 -0.44903758  0.0102893 ],1.0,1.0
[-0.43780284  0.01123474 -0.42570448  0.01209835 -0.41282983  0.01287466],0.84910244,1.0
[-0.39949708  0.01333275 -0.38580009  0.01369699 -0.37183375  0.01396634],1.0,1.0
[-0.35746672  0.01436702 -0.34279474  0.01467198 -0.32791327  0.01488147],1.0,1.0
[-0.31291658  0.01499669 -0.29789688  0.0150197  -0.28294354  0.01495335],1.0,1.0
[-0.26814234  0.01480119 -0.25357496  0.01456738 -0.23931841  0.01425654],1.0,1.0
[-0.22544475  0.01387366 -0.21202077  0.01342398 -0.19910789  0.01291288],1.0,1.0
[-0.18676213  0.01234577 -0.17503412  0.01172801 -0.16396929  0.01106483],0.93460166,1.0
[-0.15370614  0.01026315 -0.14427998  0.00942616 -0.13572136  0.00855862],0.7294694,1.0
[-0.12836415  0.0073572  -0.12222965  0.0061345  -0.11733475  0.0048949 ],0.9147733,1.0
[-0.11341439  0.00392036 -0.11047856  0.00293583 -0.10853451  0.00194405],1.0,1.0
[-0.1074591   0.00107541 -0.10725491  0.00020419 -0.10792241 -0.0006675 ],1.0,1.0
[-0.10946003 -0.00153761 -0.11186405 -0.00240403 -0.11512862 -0.00326457],1.0,1.0
[-0.11924555 -0.00411693 -0.1242042  -0.00495866 -0.12999131 -0.00578711],1.0,1.0
[-0.13659071 -0.0065994  -0.14398314 -0.00739243 -0.15214595 -0.00816281],0.8083497,1.0
[-0.16134031 -0.00919436 -0.17153497 -0.01019466 -0.18269332 -0.01115835],1.0,1.0
[-0.19448549 -0.01179217 -0.20686407 -0.01237858 -0.21977648 -0.01291241],0.8728819,1.0
[-0.23335558 -0.0135791  -0.24753736 -0.01418177 -0.26225157 -0.01471421],0.895813,1.0
[-0.27738743 -0.01513586 -0.29286277 -0.01547534 -0.30858998 -0.01572721],1.0,1.0
[-0.32432024 -0.01573026 -0.33995764 -0.0156374  -0.35540373 -0.01544609],0.75449663,1.0
[-0.37092668 -0.01552295 -0.38642331 -0.01549663 -0.40178822 -0.01536491],0.48863795,1.0
[-0.41731355 -0.01552533 -0.43288963 -0.01557608 -0.4484047  -0.01551507],0.9038047,1.0
[-0.46312325 -0.01471855 -0.47693717 -0.01381392 -0.48974421 -0.01280704],0.87485456,1.0
[-0.50149244 -0.01174823 -0.51209406 -0.01060162 -0.52146967 -0.00937561],0.75787586,1.0
[-0.52972443 -0.00825476 -0.53679644 -0.00707201 -0.54263268 -0.00583624],0.8587232,1.0
[-0.54703816 -0.00440548 -0.5499799  -0.00294174 -0.55143591 -0.00145601],0.98569846,1.0
"[-5.51204831e-01  2.31077925e-04 -5.49288397e-01  1.91643443e-03
 -5.45700933e-01  3.58746361e-03]",0.93732446,1.0
[-0.54054184  0.0051591  -0.53384974  0.0066921  -0.52567478  0.00817496],0.8460273,1.0
[-0.51621521  0.00945957 -0.50554198  0.01067324 -0.49373506  0.01180692],0.67036444,1.0
[-0.48114627  0.01258879 -0.46786947  0.0132768  -0.45400315  0.01386632],0.81299263,1.0
[-0.43943553  0.01456763 -0.42427295  0.01516258 -0.40862486  0.0156481 ],0.9503201,1.0
[-0.39239659  0.01622827 -0.37570164  0.01669495 -0.35865441  0.01704723],1.0,1.0
[-0.34129438  0.01736002 -0.32373449  0.01755989 -0.30608537  0.01764912],1.0,1.0
[-0.28845426  0.01763111 -0.27094407  0.0175102  -0.25365248  0.01729159],1.0,1.0
[-0.23667133  0.01698115 -0.22008607  0.01658526 -0.20397539  0.01611068],1.0,1.0
[-0.18841107  0.01556432 -0.17345791  0.01495316 -0.15917383  0.01428408],1.0,1.0
[-0.14561009  0.01356374 -0.1328116   0.01279849 -0.12081728  0.01199432],0.89867556,1.0
[-0.10981252  0.01100476 -0.09982531  0.00998721 -0.09087881  0.0089465 ],1.0,1.0
[-0.08283998  0.00803883 -0.07572434  0.00711564 -0.06954446  0.00617987],1.0,1.0
[-0.06431038  0.00523409 -0.06002991  0.00428047 -0.056709    0.0033209 ],0.9248545,1.0
"[-5.44647303e-02  2.24427472e-03 -5.32998759e-02  1.16485439e-03
 -5.32158479e-02  8.40279889e-05]",1.0,1.0
[-0.05410003 -0.00088418 -0.05595135 -0.00185133 -0.05876754 -0.00281619],1.0,1.0
[-0.06254498 -0.00377744 -0.06727854 -0.00473356 -0.07296135 -0.00568281],0.7321199,1.0
[-0.07998633 -0.00702498 -0.08834149 -0.00835517 -0.0980112  -0.0096697 ],0.7499308,1.0
[-0.10894871 -0.01093751 -0.12112898 -0.01218027 -0.1345211  -0.01339212],0.7462713,0.99999976
[-0.14909298 -0.01457188 -0.16479952 -0.01570654 -0.18158729 -0.01678777],1.0,0.99999976
[-0.19901318 -0.0174259  -0.21700659 -0.0179934  -0.23548866 -0.01848207],0.9754187,0.99999976
[-0.25440925 -0.01892059 -0.27367324 -0.01926399 -0.29317779 -0.01950455],1.0,1.0
[-0.31277611 -0.01959832 -0.33235228 -0.01957617 -0.35178539 -0.01943311],1.0,1.0
[-0.37095079 -0.0191654  -0.38972146 -0.01877067 -0.40796942 -0.01824797],1.0,1.0
[-0.42556732 -0.0175979  -0.44238991 -0.01682258 -0.45831555 -0.01592564],0.8317207,1.0
[-0.47348011 -0.01516456 -0.48777157 -0.01429146 -0.50108363 -0.01331206],0.98764646,1.0
[-0.51308296 -0.01199933 -0.52367967 -0.01059671 -0.53279431 -0.00911464],0.9647778,1.0
[-0.54039282 -0.00759851 -0.54641826 -0.00602544 -0.55082553 -0.00440726],1.0,1.0
[-0.55352882 -0.00270329 -0.55450793 -0.00097912 -0.55375556  0.00075237],1.0,1.0
[-0.55127733  0.00247824 -0.54709174  0.00418559 -0.5412301   0.00586164],1.0,1.0
[-0.53373629  0.00749381 -0.52466645  0.00906983 -0.51408861  0.01057784],1.0,1.0
[-0.50208209  0.01200652 -0.48873683  0.01334526 -0.47415256  0.01458427],1.0,1.0
[-0.45843778  0.01571478 -0.44170859  0.01672918 -0.42408743  0.01762117],1.0,1.0
[-0.40570156  0.01838587 -0.3866816   0.01901996 -0.36715989  0.01952171],1.0,1.0
[-0.34726887  0.01989102 -0.3271395   0.02012937 -0.30689974  0.02023976],1.0,1.0
[-0.28667314  0.0202266  -0.2665776   0.02009554 -0.24672431  0.0198533 ],1.0,1.0
[-0.22721689  0.01950742 -0.20815081  0.01906608 -0.18961294  0.01853787],1.0,1.0
[-0.17168138  0.01793156 -0.1544255   0.01725588 -0.13790611  0.01651939],1.0,1.0
[-0.1221758   0.01573031 -0.10727942  0.01489637 -0.09325469  0.01402473],0.94904655,1.0
[-0.08020919  0.0130455  -0.06816809  0.0120411  -0.05715133  0.01101676],0.7702275,1.0
[-0.04744257  0.00970876 -0.03905319  0.00838938 -0.03199133  0.00706186],1.0,1.0
[-0.02591797  0.00607337 -0.02083705  0.00508092 -0.01675125  0.0040858 ],1.0,1.0
[-0.01366229  0.00308896 -0.01157123  0.00209106 -0.01047867  0.00109256],1.0,1.0
"[-1.03848698e-02  9.37983130e-05 -1.12898583e-02 -9.04988523e-04
 -1.31934131e-02 -1.90355472e-03]",1.0,1.0
[-0.01609501 -0.0029016  -0.01999369 -0.00389868 -0.02488788 -0.00489419],0.89687705,1.0
[-0.03092979 -0.00604191 -0.03811562 -0.00718584 -0.04643982 -0.00832419],1.0,0.99999976
[-0.05573979 -0.00929997 -0.06600489 -0.0102651  -0.07722114 -0.01121625],1.0,0.99999976
[-0.0893706  -0.01214946 -0.10243074 -0.01306014 -0.11637378 -0.01394303],1.0,0.99999976
[-0.131166   -0.01479222 -0.14676715 -0.01560115 -0.16312986 -0.01636271],1.0,0.99999976
[-0.18019912 -0.01706926 -0.19791188 -0.01771276 -0.21619679 -0.01828491],1.0,0.99999976
[-0.23497403 -0.01877725 -0.25415543 -0.0191814  -0.27364467 -0.01948924],1.0,1.0
[-0.29333775 -0.01969308 -0.31312369 -0.01978593 -0.33288536 -0.01976167],0.80038965,1.0
[-0.35280003 -0.01991467 -0.37273979 -0.01993975 -0.39257217 -0.01983238],0.9304529,1.0
[-0.41196646 -0.01939429 -0.43078675 -0.01882029 -0.44889849 -0.01811174],1.0,1.0
[-0.46606581 -0.01716732 -0.48216248 -0.01609667 -0.49706913 -0.01490665],0.9834236,1.0
[-0.5106994  -0.01363027 -0.52295126 -0.01225186 -0.53373284 -0.01078158],1.0,1.0
[-0.54293843 -0.00920559 -0.55049905 -0.00756062 -0.55635814 -0.00585909],0.70040256,1.0
[-0.56092132 -0.00456318 -0.56415457 -0.00323325 -0.56603379 -0.00187922],1.0,1.0
"[-5.66095609e-01 -6.18193103e-05 -5.64339565e-01  1.75604422e-03
 -5.60778725e-01  3.56083996e-03]",0.9384202,1.0
[-0.55553198  0.00524674 -0.54863848  0.00689351 -0.54014972  0.00848876],0.9815566,1.0
[-0.53006455  0.01008517 -0.51845855  0.011606   -0.50541877  0.01303978],0.931424,1.0
[-0.49111813  0.01430064 -0.47566358  0.01545455 -0.45917017  0.01649341],1.0,1.0
[-0.44165697  0.0175132  -0.42325216  0.01840481 -0.40408863  0.01916352],0.9106399,1.0
[-0.38443639  0.01965224 -0.36443186  0.02000454 -0.34421026  0.02022159],0.9383486,1.0
[-0.32386255  0.02034771 -0.30351729  0.02034526 -0.28329778  0.02021951],0.670254,1.0
[-0.26372304  0.01957473 -0.24490047  0.01882258 -0.22692758  0.01797288],0.7152062,1.0
[-0.20982459  0.01710299 -0.19366964  0.01615496 -0.17853164  0.01513799],0.56752056,1.0
[-0.16469228  0.01383936 -0.15220266  0.01248962 -0.14110564  0.01109702],0.68616337,1.0
[-0.1312587   0.00984694 -0.12269118  0.00856752 -0.11542698  0.00726421],0.82034326,1.0
[-0.10928386  0.00614312 -0.10427707  0.00500679 -0.10041843  0.00385864],0.75664693,1.0
"[-9.78122287e-02  2.60619920e-03 -9.64641979e-02  1.34803087e-03
 -9.63772401e-02  8.69577997e-05]",0.68898857,1.0
[-0.09765303 -0.00127579 -0.10028882 -0.00263579 -0.10427883 -0.00399001],0.69646347,1.0
[-0.1096028  -0.00532397 -0.11624815 -0.00664535 -0.1241983  -0.00795016],0.8505452,1.0
[-0.13320111 -0.00900281 -0.14323114 -0.01003003 -0.15425808 -0.01102694],0.68331283,1.0
[-0.16649709 -0.01223902 -0.17990571 -0.01340861 -0.19443399 -0.01452828],0.8698003,1.0
[-0.20974418 -0.0153102  -0.22577088 -0.0160267  -0.24244103 -0.01667015],0.8985094,1.0
[-0.2596308  -0.01718977 -0.27725204 -0.01762124 -0.29520947 -0.01795742],0.5873143,1.0
[-0.31386793 -0.01865846 -0.33311665 -0.01924872 -0.35283652 -0.01971987],0.92930835,1.0
[-0.37238785 -0.01955134 -0.39164081 -0.01925296 -0.41046384 -0.01882303],0.8694403,1.0
[-0.42881503 -0.01835119 -0.44656339 -0.01774836 -0.46358023 -0.01701684],1.0,1.0
