State,Action,Action wo Noise
[-0.57666451  0.         -0.57666451  0.         -0.57666451  0.        ],0.77279645,1.0
[-0.575109    0.00155551 -0.5720095   0.00309949 -0.56738901  0.00462049],0.75957584,1.0
[-0.56130167  0.00608734 -0.55379279  0.00750887 -0.54491841  0.00887438],0.7850273,1.0
[-0.5347067   0.01021171 -0.52323415  0.01147255 -0.5105868   0.01264735],0.63382846,1.0
[-0.49708626  0.01350053 -0.48283362  0.01425264 -0.46793522  0.01489841],0.79408294,1.0
[-0.45226123  0.01567399 -0.43592707  0.01633416 -0.41905177  0.0168753 ],0.6326005,1.0
[-0.40199888  0.01705289 -0.38488899  0.01710989 -0.36784077  0.01704823],0.8135259,1.0
[-0.35069838  0.01714238 -0.33357509  0.01712329 -0.31658074  0.01699435],0.93065685,1.0
[-0.29964514  0.0169356  -0.28286966  0.01677548 -0.26635077  0.01651889],1.0,1.0
[-0.25007534  0.01627543 -0.23412875  0.01594659 -0.21859041  0.01553834],0.9907094,1.0
[-0.20354746  0.01504295 -0.18906664  0.01448082 -0.17520828  0.01385836],0.88605374,1.0
[-0.16218336  0.01302492 -0.15003924  0.01214412 -0.13881703  0.01122221],1.0,1.0
[-0.12838115  0.01043588 -0.11876213  0.00961902 -0.1099861   0.00877603],1.0,1.0
[-0.10207521  0.00791089 -0.09504802  0.00702719 -0.08891989  0.00612814],1.0,1.0
[-0.08370332  0.00521656 -0.07940835  0.00429497 -0.07604278  0.00336557],1.0,1.0
[-0.07361243  0.00243035 -0.07212138  0.00149106 -0.07157203  0.00054935],0.9893565,1.0
[-0.07198124 -0.00040921 -0.07334835 -0.00136711 -0.07567114 -0.0023228 ],1.0,1.0
[-0.0789298  -0.00325865 -0.08311869 -0.00418889 -0.08823026 -0.00511157],1.0,1.0
[-0.09425477 -0.00602451 -0.10117999 -0.00692523 -0.10899093 -0.00781094],1.0,1.0
[-0.11766941 -0.00867848 -0.12719374 -0.00952433 -0.13753826 -0.01034452],1.0,1.0
[-0.14867296 -0.01113471 -0.1605631  -0.01189014 -0.17316877 -0.01260567],1.0,1.0
[-0.1864446  -0.01327583 -0.20033945 -0.01389485 -0.2147962  -0.01445675],0.9357211,1.0
[-0.22984804 -0.01505184 -0.24542514 -0.0155771  -0.2614511  -0.01602595],0.63020384,1.0
