State,Action,Action wo Noise
[-0.44042089  0.         -0.44042089  0.         -0.44042089  0.        ],1.0,1.0
[-0.43953827  0.00088262 -0.43777944  0.00175883 -0.43515717  0.00262227],1.0,1.0
[-0.43169046  0.00346671 -0.42740436  0.0042861  -0.42232974  0.00507462],1.0,1.0
[-0.41650302  0.00582673 -0.40996576  0.00653726 -0.40276434  0.00720142],0.6798713,1.0
[-0.39542965  0.00733469 -0.38801291  0.00741674 -0.38056545  0.00744746],1.0,1.0
[-0.37265812  0.00790733 -0.36434456  0.00831357 -0.35568047  0.00866408],1.0,1.0
[-0.34672318  0.00895729 -0.33753108  0.00919211 -0.32816313  0.00936795],1.0,1.0
[-0.3186784   0.00948473 -0.30913558  0.00954282 -0.29959254  0.00954304],1.0,1.0
[-0.29010592  0.00948662 -0.28073075  0.00937516 -0.27152016  0.00921059],0.9012966,1.0
[-0.26267309  0.00884707 -0.25423721  0.00843588 -0.24625679  0.00798042],0.71332365,1.0
[-0.23905463  0.00720216 -0.23266667  0.00638796 -0.22712404  0.00554263],1.0,0.99999976
[-0.22202319  0.00510085 -0.21738798  0.00463521 -0.2132397   0.00414828],1.0,0.9999995
[-0.20959707  0.00364262 -0.2064763   0.00312077 -0.20389105  0.00258525],1.0,0.99999905
[-0.20185252  0.00203853 -0.20036946  0.00148307 -0.19944816  0.00092129],1.0,0.99999857
[-0.19909254  0.00035562 -0.1993041  -0.00021155 -0.20008194 -0.00077784],1.0,0.99999785
[-0.20142276 -0.00134083 -0.20332089 -0.00189812 -0.20576818 -0.0024473 ],1.0,0.9999974
[-0.20875408 -0.0029859  -0.21226554 -0.00351146 -0.21628702 -0.00402147],1.0,0.99999714
[-0.22080042 -0.0045134  -0.22578512 -0.0049847  -0.2312179  -0.00543278],1.0,0.9999974
[-0.23707297 -0.00585507 -0.24332195 -0.00624899 -0.24993393 -0.00661198],1.0,0.99999785
[-0.25687547 -0.00694154 -0.26411069 -0.00723522 -0.27160138 -0.00749069],1.0,0.99999857
[-0.2793071  -0.00770572 -0.28718535 -0.00787824 -0.29519173 -0.00800639],1.0,0.9999993
[-0.30328023 -0.0080885  -0.3114034  -0.00812317 -0.31951271 -0.00810931],1.0,0.9999995
[-0.32755881 -0.0080461  -0.33549191 -0.0079331  -0.34326211 -0.0077702 ],1.0,0.99999976
[-0.35081981 -0.00755771 -0.35811611 -0.0072963  -0.36510317 -0.00698706],1.0,1.0
[-0.37173466 -0.00663149 -0.37796613 -0.00623147 -0.38375543 -0.0057893 ],0.6881001,1.0
[-0.38953091 -0.00577548 -0.39525285 -0.00572195 -0.40088164 -0.00562878],0.86469126,1.0
[-0.40611311 -0.00523147 -0.41091056 -0.00479745 -0.41524012 -0.00432957],0.53052133,1.0
[-0.41957236 -0.00433224 -0.42387641 -0.00430405 -0.42812148 -0.00424508],0.6140742,1.0
[-0.43215178 -0.00403029 -0.43593824 -0.00378647 -0.4394535  -0.00351526],0.61895406,1.0
[-0.44266473 -0.00321123 -0.44554859 -0.00288386 -0.44808407 -0.00253547],1.0,1.0
"[-4.49681066e-01 -1.59699995e-03 -4.50327917e-01 -6.46850346e-04
 -4.50019884e-01  3.08032870e-04]",1.0,1.0
