State,Action,Action wo Noise
[-0.46899496  0.         -0.46899496  0.         -0.46899496  0.        ],-0.09707407,-0.4642533
[-0.46954827 -0.00055331 -0.4706508  -0.00110253 -0.47229438 -0.00164358],-0.2957961,-0.52759576
[-0.47476492 -0.00247054 -0.47804409 -0.00327918 -0.48210756 -0.00406347],-0.96445274,-0.58549255
[-0.4879281  -0.00582053 -0.49546232 -0.00753423 -0.50465401 -0.00919168],-0.8913966,-0.6705128
[-0.51532479 -0.01067079 -0.52739472 -0.01206993 -0.54077328 -0.01337855],-0.9398361,-0.74208474
[-0.55543283 -0.01465956 -0.57126375 -0.01583092 -0.58814815 -0.0168844 ],-1.0,-0.80126065
[-0.60605146 -0.0179033  -0.62484265 -0.01879119 -0.64438614 -0.01954349],-1.0,-0.84823596
[-0.66454341 -0.02015728 -0.68517482 -0.02063141 -0.70614132 -0.02096649],-1.0,-0.88411945
[-0.72730615 -0.02116483 -0.74853651 -0.02123037 -0.769705   -0.02116849],-1.0,-0.9109393
[-0.79069087 -0.02098587 -0.81138114 -0.02069026 -0.83167134 -0.02029021],-1.0,-0.9244077
[-0.85146618 -0.01979483 -0.87067976 -0.01921359 -0.88923577 -0.018556  ],-1.0,-0.93160564
[-0.90706727 -0.0178315  -0.92411644 -0.01704918 -0.94033411 -0.01621767],-1.0,-0.93438303
[-0.95567916 -0.01534505 -0.97011785 -0.01443869 -0.98362308 -0.01350523],-0.27387404,-0.9342351
[-0.99508445 -0.01146137 -1.00448712 -0.00940267 -1.0118211  -0.00733398],-0.6169819,-0.92722404
[-1.01759461 -0.00577352 -1.02180345 -0.00420884 -1.02444502 -0.00264156],-0.71017504,-0.9158914
"[-1.02565766e+00 -1.21264883e-03 -1.02544079e+00  2.16870800e-04
 -1.02379451e+00  1.64628487e-03]",-0.55483437,-0.90460813
[-1.02048663  0.00330787 -1.01551903  0.0049676  -1.00889497  0.00662407],-0.5766232,-0.89511865
[-1.00065232  0.00824265 -0.99079894  0.00985338 -0.9793462   0.01145274],-1.0,-0.8909396
