State,Action,Action wo Noise
[-0.42056392  0.         -0.42056392  0.         -0.42056392  0.        ],-1.0,-0.9992415
[-0.42282444 -0.00226051 -0.4273293  -0.00450486 -0.43404618 -0.00671689],-1.0,-0.9999241
[-0.44292666 -0.00888048 -0.4539063  -0.01097963 -0.46690482 -0.01299853],-1.0,-0.99999475
[-0.48182651 -0.01492168 -0.49856066 -0.01673416 -0.51698243 -0.01842177],-1.0,-0.999999
[-0.53695381 -0.01997139 -0.55832506 -0.02137125 -0.58093633 -0.02261127],-1.0,-0.99999934
[-0.60461969 -0.02368336 -0.62920136 -0.02458167 -0.65450419 -0.02530283],-0.99476767,-0.9999983
[-0.68034243 -0.02583823 -0.70654008 -0.02619765 -0.73292568 -0.0263856 ],-0.96540606,-0.9999848
[-0.7592906  -0.02636493 -0.7854796  -0.026189   -0.81134851 -0.02586891],-1.0,-0.99959475
[-0.83681753 -0.02546902 -0.86176816 -0.02495063 -0.88609573 -0.02432757],-0.9517314,-0.9778032
[-0.90963724 -0.02354151 -0.93231623 -0.02267899 -0.95406983 -0.0217536 ],-0.01676719,-0.009446442
[-0.97344551 -0.01937568 -0.99040728 -0.01696178 -1.0049304  -0.01452312],1.0,0.9931878
[-1.0154736  -0.01054319 -1.0220281  -0.00655451 -1.02458973 -0.00256163],1.0,0.9999931
[-1.02315711  0.00143262 -1.01773099  0.00542612 -1.00831463  0.00941636],0.99875164,1.0
[-0.99491713  0.0133975  -0.97755219  0.01736494 -0.95624349  0.0213087 ],0.98264176,1.0
[-0.93105332  0.02519017 -0.90203942  0.02901391 -0.86928487  0.03275454],0.9636614,1.0
[-0.83293256  0.03635231 -0.7931337   0.03979886 -0.75008103  0.04305267],0.98068184,1.0
[-0.70398643  0.0460946  -0.65513298  0.04885345 -0.6038474   0.05128558],0.9883027,1.0
[-0.5504833   0.0533641  -0.49543533  0.05504797 -0.43911588  0.05631945],0.99539286,1.0
[-0.3819302   0.05718568 -0.32428225  0.05764795 -0.26654858  0.05773367],1.0,1.0
[-0.20905731  0.05749127 -0.15209027  0.05696704 -0.09586748  0.05622279],1.0,1.0
[-0.04054201  0.05532547  0.01380192  0.05434394  0.06714801  0.05334608],1.0,1.0
[0.11954464 0.05239663 0.17110033 0.05155569 0.2219782  0.05087787],1.0,1.0
[0.27239022 0.05041202 0.32259153 0.0502013  0.372875   0.05028347],1.0,1.0
