State,Action,Action wo Noise
[-0.40318067  0.         -0.40318067  0.         -0.40318067  0.        ],-0.9999259,-0.9999259
[-0.40556418 -0.00238351 -0.41031445 -0.00475027 -0.41739798 -0.00708353],-0.9999962,-0.9999962
[-0.42676461 -0.00936663 -0.43834731 -0.0115827  -0.45206245 -0.01371514],-0.9999999,-0.9999999
[-0.46781    -0.01574755 -0.48547401 -0.01766401 -0.50492334 -0.01944933],-1.0,-1.0
[-0.52601266 -0.02108932 -0.54858388 -0.02257122 -0.57246788 -0.023884  ],-1.0,-1.0
[-0.59748668 -0.0250188  -0.62345584 -0.02596916 -0.65018723 -0.02673139],-0.99999994,-0.99999994
[-0.67749186 -0.02730463 -0.70518286 -0.027691   -0.73307835 -0.02789549],-0.9999991,-0.9999991
[-0.76100412 -0.02792578 -0.78879612 -0.02779199 -0.81630242 -0.0275063 ],-0.9999352,-0.9999352
[-0.84338478 -0.02708237 -0.86991999 -0.02653521 -0.89580041 -0.02588042],-0.9884796,-0.9884796
[-0.920917   -0.0251166  -0.94519358 -0.02427658 -0.96856903 -0.02337544],0.21303487,0.21303487
[-0.98919415 -0.02062512 -1.00703747 -0.01784332 -1.02207937 -0.01504189],0.99916327,0.99916327
[-1.03312961 -0.01105024 -1.04018333 -0.00705372 -1.04323887 -0.00305553],0.99999976,0.99999976
"[-1.04229458e+00  9.44290489e-04 -1.03735056e+00  4.94401970e-03
 -1.02840763e+00  8.94292858e-03]",1.0,1.0
[-1.01546867  0.01293896 -0.99854103  0.01692764 -0.97763997  0.02090105],1.0,1.0
[-0.95279315  0.02484682 -0.92404593  0.02874723 -0.89146739  0.03257854],1.0,1.0
[-0.85515676  0.03631063 -0.81524967  0.03990708 -0.77192381  0.04332587],1.0,1.0
[-0.72540306  0.04652075 -0.67595955  0.0494435  -0.62391272  0.05204683],1.0,1.0
[-0.56962483  0.05428788 -0.51349285  0.05613198 -0.45593665  0.0575562 ],1.0,1.0
[-0.39738444  0.05855221 -0.33825637  0.05912806 -0.27894785  0.05930852],1.0,1.0
[-0.21981385  0.059134   -0.16115569  0.05865816 -0.103211    0.05794469],1.0,1.0
[-0.04614742  0.05706358  0.00994007  0.0560875   0.06502868  0.05508861],1.0,1.0
[0.11916471 0.05413603 0.1724588  0.05329409 0.22508009 0.05262129],1.0,1.0
[0.27724998 0.0521699  0.32923592 0.05198594 0.38134535 0.05210943],1.0,1.0
